coordinate_id,distance_to_road,road_id,geom,origin_junction_id,origin_destination_id,road_key,kilometers,travel_time
0,88.22605096979366,"RoadId(start=65360273, end=65360270, key=0)","LINESTRING (-13627276.020354617 4548890.030731471, -13627274.484145645 4548880.593672332, -13627261.014487257 4548795.829545554, -13627258.96620863 4548782.998080362, -13627257.953201262 4548776.6316512525, -13627256.784346608 4548769.462380654, -13627255.125686197 4548758.912716395)",65360273,65360270,0,0.104818,11.7
1,1178.4354799163036,"RoadId(start=65360273, end=65360270, key=0)","LINESTRING (-13627276.020354617 4548890.030731471, -13627274.484145645 4548880.593672332, -13627261.014487257 4548795.829545554, -13627258.96620863 4548782.998080362, -13627257.953201262 4548776.6316512525, -13627256.784346608 4548769.462380654, -13627255.125686197 4548758.912716395)",65360273,65360270,0,0.104818,11.7
2,14.157112887066301,"RoadId(start=65306829, end=65325192, key=0)","LINESTRING (-13626969.83609519 4547689.423792596, -13627002.152143367 4547721.6610772135, -13627032.141614188 4547751.588746199)",65306829,65325192,0,0.06949000000000001,6.2
3,54.23224361227276,"RoadId(start=65317738, end=65286864, key=0)","LINESTRING (-13626455.874006197 4547514.81746458, -13626447.88126676 4547506.902647974)",65317738,65286864,0,0.008881,0.7
4,456.83787272496323,"RoadId(start=65360273, end=65360270, key=0)","LINESTRING (-13627276.020354617 4548890.030731471, -13627274.484145645 4548880.593672332, -13627261.014487257 4548795.829545554, -13627258.96620863 4548782.998080362, -13627257.953201262 4548776.6316512525, -13627256.784346608 4548769.462380654, -13627255.125686197 4548758.912716395)",65360273,65360270,0,0.104818,11.7
5,228.02912988518545,"RoadId(start=65317750, end=65317752, key=0)","LINESTRING (-13626695.455814281 4547275.375799297, -13626762.147321217 4547208.735327141)",65317750,65317752,0,0.07444100000000001,6.7
6,324.3131896614728,"RoadId(start=314079692, end=65371540, key=0)","LINESTRING (-13626116.972948426 4546608.046768458, -13626115.959941061 4546601.766161501, -13626115.035989288 4546595.203917022, -13626114.178829208 4546588.571266398, -13626113.455252519 4546581.445748352, -13626111.585085073 4546559.505942775, -13626110.727924993 4546549.648535547, -13626109.592466187 4546537.650675342, -13626108.245500349 4546526.356927543, -13626095.221119927 4546506.557693502)",314079692,65371540,0,0.08360200000000001,3.7
7,7.311847951824816,"RoadId(start=65317565, end=65364240, key=0)","LINESTRING (-13626628.118654301 4547688.381610313, -13626618.634233685 4547678.818888545, -13626605.743436653 4547666.059217506, -13626568.006129272 4547627.681713979)",65317565,65364240,0,0.067451,5.0
8,167.98039813668657,"RoadId(start=65371540, end=729040229, key=0)","LINESTRING (-13626095.221119927 4546506.557693502, -13626077.599244535 4546254.747390321, -13626076.363598185 4546236.399075289, -13626075.417382514 4546217.938140143, -13626074.905312857 4546200.688249382, -13626074.74946557 4546194.900741415, -13626074.771729467 4546183.072267981, -13626075.473042259 4546155.880911536, -13626076.730952505 4546138.025621319, -13626078.60111995 4546118.959359411, -13626080.872037562 4546101.836365172, -13626083.688420681 4546084.234632345, -13626087.595734805 4546064.689703069, -13626091.759083763 4546046.806406542, -13626096.38997458 4546029.613124425, -13626101.677650392 4546012.307220473, -13626107.61097925 4545994.550745169, -13626113.91166243 4545977.596930225, -13626121.381200263 4545959.361753099, -13626128.394328183 4545943.689383133, -13626136.576310756 4545926.1442422215, -13626144.513390448 4545910.1198937595, -13626152.572921585 4545894.109651071, -13626161.022070935 4545877.550270275, -13626169.493484184 4545860.8501050845, -13626177.764522348 4545844.051399322, -13626186.002164667 4545826.281129843, -13626192.903973095 4545810.369583058, -13626200.184267797 4545792.317751448, -13626206.54061072 4545775.33610378, -13626212.262432545 4545757.580032472, -13626217.104830395 4545739.429725996, -13626221.223651554 4545721.180884967, -13626224.407388993 4545702.734943886, -13626226.7228344 4545683.922933807, -13626228.04753634 4545664.927907205, -13626228.593001844 4545645.90475368, -13626228.181119729 4545627.641995754, -13626226.912077537 4545609.083574474, -13626224.863798905 4545590.229491421, -13626221.75798511 4545571.051586838, -13626217.939726576 4545553.183218529, -13626213.041668981 4545534.371478557, -13626207.40890275 4545516.615818028, -13626201.330858553 4545499.930312128, -13626193.85018877 4545481.879018546, -13626185.957636872 4545465.292132055, -13626176.996417863 4545448.479983738, -13626167.23369852 4545432.04803585, -13626157.003437316 4545416.629907806, -13626146.07186332 4545401.859503348, -13626132.602204936 4545385.343146431, -13626121.53704755 4545372.741169637, -13626108.835493648 4545359.505590314, -13626095.67752984 4545346.199625925, -13626082.263531199 4545333.273848223, -13626068.58236578 4545320.798657504, -13626054.68969333 4545308.351642378, -13626040.752493082 4545295.918722433, -13626027.883959943 4545284.429196925, -13626013.612801226 4545271.36269312, -13625999.875976061 4545258.225804418, -13625987.285741651 4545245.342376606, -13625974.762298938 4545231.952076718, -13625962.41696741 4545217.97042549, -13625950.772948675 4545203.608628058, -13625940.420236029 4545189.373571908, -13625930.067523388 4545173.603799481, -13625920.82800565 4545157.735490073, -13625911.85565469 4545140.712636672, -13625904.597623892 4545124.717656674, -13625897.261669448 4545106.357252166, -13625891.717958806 4545090.404565015, -13625886.664053924 4545073.339581623, -13625882.177878447 4545055.134147487, -13625878.649050588 4545037.027304882, -13625875.81040357 4545018.962733553, -13625873.383638673 4545000.532115903, -13625871.301964194 4544982.439448093, -13625869.732359374 4544964.107454084, -13625859.724737154 4544832.180000167, -13625844.596418355 4544630.98329016, -13625843.371903958 4544612.215453706, -13625842.436820231 4544593.743317611, -13625841.902486676 4544575.045944918, -13625841.768903287 4544556.63019197, -13625841.880222779 4544538.622770833)",65371540,729040229,0,1.6689140000000002,74.6
9,453.4988709230111,"RoadId(start=65371540, end=729040229, key=0)","LINESTRING (-13626095.221119927 4546506.557693502, -13626077.599244535 4546254.747390321, -13626076.363598185 4546236.399075289, -13626075.417382514 4546217.938140143, -13626074.905312857 4546200.688249382, -13626074.74946557 4546194.900741415, -13626074.771729467 4546183.072267981, -13626075.473042259 4546155.880911536, -13626076.730952505 4546138.025621319, -13626078.60111995 4546118.959359411, -13626080.872037562 4546101.836365172, -13626083.688420681 4546084.234632345, -13626087.595734805 4546064.689703069, -13626091.759083763 4546046.806406542, -13626096.38997458 4546029.613124425, -13626101.677650392 4546012.307220473, -13626107.61097925 4545994.550745169, -13626113.91166243 4545977.596930225, -13626121.381200263 4545959.361753099, -13626128.394328183 4545943.689383133, -13626136.576310756 4545926.1442422215, -13626144.513390448 4545910.1198937595, -13626152.572921585 4545894.109651071, -13626161.022070935 4545877.550270275, -13626169.493484184 4545860.8501050845, -13626177.764522348 4545844.051399322, -13626186.002164667 4545826.281129843, -13626192.903973095 4545810.369583058, -13626200.184267797 4545792.317751448, -13626206.54061072 4545775.33610378, -13626212.262432545 4545757.580032472, -13626217.104830395 4545739.429725996, -13626221.223651554 4545721.180884967, -13626224.407388993 4545702.734943886, -13626226.7228344 4545683.922933807, -13626228.04753634 4545664.927907205, -13626228.593001844 4545645.90475368, -13626228.181119729 4545627.641995754, -13626226.912077537 4545609.083574474, -13626224.863798905 4545590.229491421, -13626221.75798511 4545571.051586838, -13626217.939726576 4545553.183218529, -13626213.041668981 4545534.371478557, -13626207.40890275 4545516.615818028, -13626201.330858553 4545499.930312128, -13626193.85018877 4545481.879018546, -13626185.957636872 4545465.292132055, -13626176.996417863 4545448.479983738, -13626167.23369852 4545432.04803585, -13626157.003437316 4545416.629907806, -13626146.07186332 4545401.859503348, -13626132.602204936 4545385.343146431, -13626121.53704755 4545372.741169637, -13626108.835493648 4545359.505590314, -13626095.67752984 4545346.199625925, -13626082.263531199 4545333.273848223, -13626068.58236578 4545320.798657504, -13626054.68969333 4545308.351642378, -13626040.752493082 4545295.918722433, -13626027.883959943 4545284.429196925, -13626013.612801226 4545271.36269312, -13625999.875976061 4545258.225804418, -13625987.285741651 4545245.342376606, -13625974.762298938 4545231.952076718, -13625962.41696741 4545217.97042549, -13625950.772948675 4545203.608628058, -13625940.420236029 4545189.373571908, -13625930.067523388 4545173.603799481, -13625920.82800565 4545157.735490073, -13625911.85565469 4545140.712636672, -13625904.597623892 4545124.717656674, -13625897.261669448 4545106.357252166, -13625891.717958806 4545090.404565015, -13625886.664053924 4545073.339581623, -13625882.177878447 4545055.134147487, -13625878.649050588 4545037.027304882, -13625875.81040357 4545018.962733553, -13625873.383638673 4545000.532115903, -13625871.301964194 4544982.439448093, -13625869.732359374 4544964.107454084, -13625859.724737154 4544832.180000167, -13625844.596418355 4544630.98329016, -13625843.371903958 4544612.215453706, -13625842.436820231 4544593.743317611, -13625841.902486676 4544575.045944918, -13625841.768903287 4544556.63019197, -13625841.880222779 4544538.622770833)",65371540,729040229,0,1.6689140000000002,74.6
10,208.63121586549698,"RoadId(start=65371540, end=729040229, key=0)","LINESTRING (-13626095.221119927 4546506.557693502, -13626077.599244535 4546254.747390321, -13626076.363598185 4546236.399075289, -13626075.417382514 4546217.938140143, -13626074.905312857 4546200.688249382, -13626074.74946557 4546194.900741415, -13626074.771729467 4546183.072267981, -13626075.473042259 4546155.880911536, -13626076.730952505 4546138.025621319, -13626078.60111995 4546118.959359411, -13626080.872037562 4546101.836365172, -13626083.688420681 4546084.234632345, -13626087.595734805 4546064.689703069, -13626091.759083763 4546046.806406542, -13626096.38997458 4546029.613124425, -13626101.677650392 4546012.307220473, -13626107.61097925 4545994.550745169, -13626113.91166243 4545977.596930225, -13626121.381200263 4545959.361753099, -13626128.394328183 4545943.689383133, -13626136.576310756 4545926.1442422215, -13626144.513390448 4545910.1198937595, -13626152.572921585 4545894.109651071, -13626161.022070935 4545877.550270275, -13626169.493484184 4545860.8501050845, -13626177.764522348 4545844.051399322, -13626186.002164667 4545826.281129843, -13626192.903973095 4545810.369583058, -13626200.184267797 4545792.317751448, -13626206.54061072 4545775.33610378, -13626212.262432545 4545757.580032472, -13626217.104830395 4545739.429725996, -13626221.223651554 4545721.180884967, -13626224.407388993 4545702.734943886, -13626226.7228344 4545683.922933807, -13626228.04753634 4545664.927907205, -13626228.593001844 4545645.90475368, -13626228.181119729 4545627.641995754, -13626226.912077537 4545609.083574474, -13626224.863798905 4545590.229491421, -13626221.75798511 4545571.051586838, -13626217.939726576 4545553.183218529, -13626213.041668981 4545534.371478557, -13626207.40890275 4545516.615818028, -13626201.330858553 4545499.930312128, -13626193.85018877 4545481.879018546, -13626185.957636872 4545465.292132055, -13626176.996417863 4545448.479983738, -13626167.23369852 4545432.04803585, -13626157.003437316 4545416.629907806, -13626146.07186332 4545401.859503348, -13626132.602204936 4545385.343146431, -13626121.53704755 4545372.741169637, -13626108.835493648 4545359.505590314, -13626095.67752984 4545346.199625925, -13626082.263531199 4545333.273848223, -13626068.58236578 4545320.798657504, -13626054.68969333 4545308.351642378, -13626040.752493082 4545295.918722433, -13626027.883959943 4545284.429196925, -13626013.612801226 4545271.36269312, -13625999.875976061 4545258.225804418, -13625987.285741651 4545245.342376606, -13625974.762298938 4545231.952076718, -13625962.41696741 4545217.97042549, -13625950.772948675 4545203.608628058, -13625940.420236029 4545189.373571908, -13625930.067523388 4545173.603799481, -13625920.82800565 4545157.735490073, -13625911.85565469 4545140.712636672, -13625904.597623892 4545124.717656674, -13625897.261669448 4545106.357252166, -13625891.717958806 4545090.404565015, -13625886.664053924 4545073.339581623, -13625882.177878447 4545055.134147487, -13625878.649050588 4545037.027304882, -13625875.81040357 4545018.962733553, -13625873.383638673 4545000.532115903, -13625871.301964194 4544982.439448093, -13625869.732359374 4544964.107454084, -13625859.724737154 4544832.180000167, -13625844.596418355 4544630.98329016, -13625843.371903958 4544612.215453706, -13625842.436820231 4544593.743317611, -13625841.902486676 4544575.045944918, -13625841.768903287 4544556.63019197, -13625841.880222779 4544538.622770833)",65371540,729040229,0,1.6689140000000002,74.6
11,284.3570519585436,"RoadId(start=65288985, end=65308820, key=0)","LINESTRING (-13626193.549626146 4544413.923289527, -13626194.072827749 4544424.736056621, -13626201.56462948 4544525.177062292, -13626205.42741581 4544581.466123325, -13626205.939485472 4544591.8566836035)",65288985,65308820,0,0.140873,12.6
12,454.00632218706994,"RoadId(start=65371540, end=729040229, key=0)","LINESTRING (-13626095.221119927 4546506.557693502, -13626077.599244535 4546254.747390321, -13626076.363598185 4546236.399075289, -13626075.417382514 4546217.938140143, -13626074.905312857 4546200.688249382, -13626074.74946557 4546194.900741415, -13626074.771729467 4546183.072267981, -13626075.473042259 4546155.880911536, -13626076.730952505 4546138.025621319, -13626078.60111995 4546118.959359411, -13626080.872037562 4546101.836365172, -13626083.688420681 4546084.234632345, -13626087.595734805 4546064.689703069, -13626091.759083763 4546046.806406542, -13626096.38997458 4546029.613124425, -13626101.677650392 4546012.307220473, -13626107.61097925 4545994.550745169, -13626113.91166243 4545977.596930225, -13626121.381200263 4545959.361753099, -13626128.394328183 4545943.689383133, -13626136.576310756 4545926.1442422215, -13626144.513390448 4545910.1198937595, -13626152.572921585 4545894.109651071, -13626161.022070935 4545877.550270275, -13626169.493484184 4545860.8501050845, -13626177.764522348 4545844.051399322, -13626186.002164667 4545826.281129843, -13626192.903973095 4545810.369583058, -13626200.184267797 4545792.317751448, -13626206.54061072 4545775.33610378, -13626212.262432545 4545757.580032472, -13626217.104830395 4545739.429725996, -13626221.223651554 4545721.180884967, -13626224.407388993 4545702.734943886, -13626226.7228344 4545683.922933807, -13626228.04753634 4545664.927907205, -13626228.593001844 4545645.90475368, -13626228.181119729 4545627.641995754, -13626226.912077537 4545609.083574474, -13626224.863798905 4545590.229491421, -13626221.75798511 4545571.051586838, -13626217.939726576 4545553.183218529, -13626213.041668981 4545534.371478557, -13626207.40890275 4545516.615818028, -13626201.330858553 4545499.930312128, -13626193.85018877 4545481.879018546, -13626185.957636872 4545465.292132055, -13626176.996417863 4545448.479983738, -13626167.23369852 4545432.04803585, -13626157.003437316 4545416.629907806, -13626146.07186332 4545401.859503348, -13626132.602204936 4545385.343146431, -13626121.53704755 4545372.741169637, -13626108.835493648 4545359.505590314, -13626095.67752984 4545346.199625925, -13626082.263531199 4545333.273848223, -13626068.58236578 4545320.798657504, -13626054.68969333 4545308.351642378, -13626040.752493082 4545295.918722433, -13626027.883959943 4545284.429196925, -13626013.612801226 4545271.36269312, -13625999.875976061 4545258.225804418, -13625987.285741651 4545245.342376606, -13625974.762298938 4545231.952076718, -13625962.41696741 4545217.97042549, -13625950.772948675 4545203.608628058, -13625940.420236029 4545189.373571908, -13625930.067523388 4545173.603799481, -13625920.82800565 4545157.735490073, -13625911.85565469 4545140.712636672, -13625904.597623892 4545124.717656674, -13625897.261669448 4545106.357252166, -13625891.717958806 4545090.404565015, -13625886.664053924 4545073.339581623, -13625882.177878447 4545055.134147487, -13625878.649050588 4545037.027304882, -13625875.81040357 4545018.962733553, -13625873.383638673 4545000.532115903, -13625871.301964194 4544982.439448093, -13625869.732359374 4544964.107454084, -13625859.724737154 4544832.180000167, -13625844.596418355 4544630.98329016, -13625843.371903958 4544612.215453706, -13625842.436820231 4544593.743317611, -13625841.902486676 4544575.045944918, -13625841.768903287 4544556.63019197, -13625841.880222779 4544538.622770833)",65371540,729040229,0,1.6689140000000002,74.6
